filename,width,height,class,xmin,ymin,xmax,ymax
hand_held_nasa_training79.jpg,854,480,fire,301,346,400,428
house3704.jpg,854,480,fire,500,2,577,109
house3198.jpg,854,480,fire,504,66,561,108
house2446.jpg,854,480,fire,519,2,617,106
house3391.jpg,854,480,fire,468,1,564,110
house6614.jpg,426,240,fire,131,81,155,117
house6651.jpg,426,240,fire,131,81,155,117
house4490.jpg,854,480,fire,473,365,526,425
hand_held_nasa_training186.jpg,854,480,fire,302,267,363,303
hand_held_nasa_training96.jpg,854,480,fire,246,171,327,255
house4177.jpg,854,480,fire,469,350,527,424
house6577.jpg,426,240,fire,131,86,156,117
house4301.jpg,854,480,fire,471,349,529,423
house4463.jpg,854,480,fire,469,345,526,422
house4590.jpg,854,480,fire,470,333,525,426
house3330.jpg,854,480,fire,468,1,564,110
house6109.jpg,426,240,fire,171,81,200,119
house4473.jpg,854,480,fire,469,345,526,422
house566.jpg,854,480,fire,420,258,528,427
house2134.jpg,854,480,fire,523,1,614,108
house6884.jpg,426,240,fire,174,46,242,118
house6571.jpg,426,240,fire,131,86,156,117
house2432.jpg,854,480,fire,519,2,617,106
house6127.jpg,426,240,fire,171,81,200,119
house282.jpg,854,480,fire,521,4,606,105
house2344.jpg,854,480,fire,519,2,617,106
barbecue793.jpg,1280,720,fire,536,362,693,556
house4438.jpg,854,480,fire,472,333,526,420
house4652.jpg,854,480,fire,468,337,527,423
house6649.jpg,426,240,fire,131,81,155,117
house2114.jpg,854,480,fire,523,1,614,108
house6424.jpg,426,240,fire,173,68,201,118
hand_held_nasa_training72.jpg,854,480,fire,256,370,382,449
house463.jpg,854,480,fire,471,338,531,424
house2583.jpg,854,480,fire,502,1,601,109
house6814.jpg,426,240,fire,130,82,155,116
house4330.jpg,854,480,fire,471,346,529,422
house4655.jpg,854,480,fire,468,337,527,423
house2113.jpg,854,480,fire,523,1,614,108
house6519.jpg,426,240,fire,131,86,156,117
house6275.jpg,426,240,fire,173,68,201,118
house6579.jpg,426,240,fire,131,86,156,117
house478.jpg,854,480,fire,471,351,540,422
house2110.jpg,854,480,fire,523,1,614,108
house2295.jpg,854,480,fire,513,2,608,105
house4138.jpg,854,480,fire,469,350,527,424
house3360.jpg,854,480,fire,468,1,564,110
house3240.jpg,854,480,fire,503,60,567,112
house6151.jpg,426,240,fire,171,81,200,119
case2_car192.jpg,640,480,fire,239,238,307,293
house2510.jpg,854,480,fire,510,1,607,105
house4136.jpg,854,480,fire,469,350,527,424
house3605.jpg,854,480,fire,500,0,572,109
house4836.jpg,854,480,fire,467,341,524,424
house4653.jpg,854,480,fire,468,337,527,423
house6179.jpg,426,240,fire,171,81,200,119
house4623.jpg,854,480,fire,470,333,525,426
house3458.jpg,854,480,fire,468,1,564,110
house4778.jpg,854,480,fire,470,353,526,423
case2_car190.jpg,640,480,fire,239,238,307,293
case2_car171.jpg,640,480,fire,232,237,297,291
house3329.jpg,854,480,fire,468,1,564,110
barbecue776.jpg,1280,720,fire,496,231,695,564
hand_held_nasa_training69.jpg,854,480,fire,281,379,373,451
house4732.jpg,854,480,fire,473,332,526,426
barbecue836.jpg,1280,720,fire,557,458,694,533
hand_held_nasa_training154.jpg,854,480,fire,317,199,379,253
hand_held_nasa_training27.jpg,854,480,fire,256,405,361,462
house6511.jpg,426,240,fire,131,86,156,117
house233.jpg,854,480,fire,521,2,605,106
house2265.jpg,854,480,fire,513,2,608,105
house4769.jpg,854,480,fire,470,353,526,423
house3529.jpg,854,480,fire,500,3,583,109
house2211.jpg,854,480,fire,523,1,614,108
case2_car193.jpg,640,480,fire,239,238,307,293
house2591.jpg,854,480,fire,502,1,601,109
house2210.jpg,854,480,fire,523,1,614,108
house6191.jpg,426,240,fire,171,81,200,119
house2845.jpg,854,480,fire,508,2,664,108
house6395.jpg,426,240,fire,173,68,201,118
house6733.jpg,426,240,fire,153,152,171,194
house4869.jpg,854,480,fire,468,304,523,422
house4772.jpg,854,480,fire,470,353,526,423
house3181.jpg,854,480,fire,507,74,564,111
hand_held_nasa_training34.jpg,854,480,fire,272,381,369,459
house4599.jpg,854,480,fire,470,333,525,426
house4144.jpg,854,480,fire,469,350,527,424
house6186.jpg,426,240,fire,171,81,200,119
house3548.jpg,854,480,fire,499,3,568,110
house6629.jpg,426,240,fire,131,81,155,117
house6461.jpg,426,240,fire,172,59,206,119
house4781.jpg,854,480,fire,467,341,524,424
house6658.jpg,426,240,fire,131,81,155,117
house4414.jpg,854,480,fire,472,333,526,420
house614.jpg,426,240,fire,176,84,200,117
barbecue810.jpg,1280,720,fire,544,320,704,553
house522.jpg,854,480,fire,422,246,522,426
barbecue853.jpg,1280,720,fire,551,455,705,547
barbecue661.jpg,1280,720,fire,385,266,622,516
house4833.jpg,854,480,fire,467,341,524,424
house6358.jpg,426,240,fire,173,68,201,118
house6545.jpg,426,240,fire,131,86,156,117
house3191.jpg,854,480,fire,490,22,515,54
house2108.jpg,854,480,fire,523,1,614,108
house4376.jpg,854,480,fire,469,326,526,422
house6176.jpg,426,240,fire,171,81,200,119
house6667.jpg,426,240,fire,129,81,155,118
house2865.jpg,854,480,fire,508,2,664,108
house2431.jpg,854,480,fire,519,2,617,106
house599.jpg,854,480,fire,429,307,527,424
house2519.jpg,854,480,fire,510,1,607,105
house2879.jpg,854,480,fire,508,2,664,108
house4162.jpg,854,480,fire,469,350,527,424
house3245.jpg,854,480,fire,503,60,567,112
house6648.jpg,426,240,fire,131,81,155,117
house2611.jpg,854,480,fire,497,1,621,107
house6237.jpg,426,240,fire,173,68,201,118
house225.jpg,854,480,fire,521,2,605,106
house3379.jpg,854,480,fire,468,1,564,110
house4612.jpg,854,480,fire,470,333,525,426
house427.jpg,854,480,fire,470,345,523,425
house6540.jpg,426,240,fire,131,86,156,117
case2_car93.jpg,640,480,fire,137,229,220,283
barbecue844.jpg,1280,720,fire,557,458,694,533
house2425.jpg,854,480,fire,519,2,617,106
house3791.jpg,854,480,fire,469,0,561,108
house6858.jpg,426,240,fire,174,46,242,118
hand_held_nasa_training17.jpg,854,480,fire,257,370,357,458
house6827.jpg,426,240,fire,170,29,242,120
house6769.jpg,426,240,fire,174,49,241,121
house468.jpg,854,480,fire,472,365,536,423
hand_held_nasa_training201.jpg,854,480,fire,308,280,352,312
house2687.jpg,854,480,fire,510,0,614,109
house2537.jpg,854,480,fire,510,1,607,105
house2643.jpg,854,480,fire,510,0,614,109
house3359.jpg,854,480,fire,468,1,564,110
house3788.jpg,854,480,fire,484,1,562,110
barbecue745.jpg,1280,720,fire,501,311,696,591
house4196.jpg,854,480,fire,469,350,527,424
house4179.jpg,854,480,fire,469,350,527,424
house4448.jpg,854,480,fire,472,333,526,420
house6454.jpg,426,240,fire,172,59,206,119
barbecue893.jpg,1280,720,fire,509,264,722,527
house2253.jpg,854,480,fire,513,2,608,105
house6522.jpg,426,240,fire,131,86,156,117
house6351.jpg,426,240,fire,173,68,201,118
house4619.jpg,854,480,fire,470,333,525,426
hand_held_nasa_training161.jpg,854,480,fire,323,219,373,275
house4159.jpg,854,480,fire,469,350,527,424
house4520.jpg,854,480,fire,471,360,563,425
house2693.jpg,854,480,fire,510,0,614,109
barbecue740.jpg,1280,720,fire,501,311,696,591
house4614.jpg,854,480,fire,470,333,525,426
house3239.jpg,854,480,fire,473,2,568,113
house4731.jpg,854,480,fire,473,332,526,426
house4546.jpg,854,480,fire,470,358,526,420
house3185.jpg,854,480,fire,507,74,564,111
house3536.jpg,854,480,fire,500,3,583,109
house2341.jpg,854,480,fire,513,2,608,105
house6607.jpg,426,240,fire,131,86,156,117
house6284.jpg,426,240,fire,173,68,201,118
house532.jpg,854,480,fire,422,246,522,426
house4522.jpg,854,480,fire,471,362,523,427
house2568.jpg,854,480,fire,510,1,607,105
house2401.jpg,854,480,fire,519,2,617,106
house2263.jpg,854,480,fire,513,2,608,105
house2671.jpg,854,480,fire,510,0,614,109
house3847.jpg,854,480,fire,476,1,557,112
house2647.jpg,854,480,fire,510,0,614,109
house453.jpg,854,480,fire,472,352,524,423
house4344.jpg,854,480,fire,471,346,529,422
house6178.jpg,426,240,fire,171,81,200,119
house6429.jpg,426,240,fire,173,68,201,118
house4143.jpg,854,480,fire,469,350,527,424
house6187.jpg,426,240,fire,171,81,200,119
house4716.jpg,854,480,fire,473,332,526,426
house6584.jpg,426,240,fire,131,86,156,117
house2759.jpg,854,480,fire,508,0,604,108
house3620.jpg,854,480,fire,511,3,582,107
house3124.jpg,854,480,fire,511,81,537,106
house3790.jpg,854,480,fire,469,0,561,108
house3471.jpg,854,480,fire,468,1,564,110
house6737.jpg,426,240,fire,153,152,171,194
house3741.jpg,854,480,fire,500,2,577,109
house3144.jpg,854,480,fire,501,78,558,112
house3566.jpg,854,480,fire,500,0,572,109
house3839.jpg,854,480,fire,476,1,557,112
house4754.jpg,854,480,fire,473,332,526,426
house6774.jpg,426,240,fire,174,49,241,121
barbecue863.jpg,1280,720,fire,551,455,705,547
house3423.jpg,854,480,fire,468,1,564,110
house4185.jpg,854,480,fire,469,350,527,424
house524.jpg,854,480,fire,422,246,522,426
house4613.jpg,854,480,fire,470,333,525,426
house6685.jpg,426,240,fire,153,152,171,194
